Ejemplo XXXV|Don Juan Manuel, Medieval
El Romance del Rey Moro|Ano'nimo, Medieval
El Lazarillo de tormes|Ano'nimo, XVI
Los Presagios|Informantes de Sahagu'n, XVI
Se ha Perdido el Pueblo Mexicatl|Ano'nimo(recopilados por Miguel Leo'n-Portilla), XVI
Segunda Carta de Relacion|Herna'n Corte's, XVI
Soneto XXII (En tanto que rosa y azucena)|Garcilaso de la vega, XVI
Mientras por Competir con tu cabello|Go'ngora, XVII, Culteranismo
Mire' los muros de la patria mi'a|Quevedo, XVII, Conceptismo
Hombres necio que acusa'is|Sor Juana Ine's de La Cruz, XVII
Don Quijote|Miguel de Cervantes, XVII
El Burlador de Sevilla|Tirso de Molina, XVII
En una Tempestad|Jose' Mari'a Heredia, XIX
Volvera'n las oscuras golondrinas|Be'quer
Las medias rojas|Emilia Pardo Baza'n
San Manuel Bueno, Ma'rtir|Miguel de Unamuno, gen de 98
He Andado Muchos Caminos|Antonio Machado, gen de 98
Nuestra Ame'rica|Jose' Marti, gen de 98'
A Roosevelt|Rube'n Dari'o, gen de 98
El Hijo|Horacio Quiroga, gen de 98
La Casa de Bernarda Alba|Federico Garci'a Lorca, XX
Prendimiento de Antonito el Camborio en el camino a sevilla|Federico Garci'a Lorca, XX
Historia de un Hombre que se convirtio' en perro|Osvaldo Dragu'n, XX
Walking Around|Pablo Neruda, XX
Balada de los dos abuelos|Nicola's Guille'n, XX
Mujer Negra|Nancy Morejo'n, XX
A Julia De Burgos|Julia de Burgos, XX
Peso Ancestral|Alfonsina Storni, XX
Borges y Yo|Jorge Luis Borges, el Boom
El Sur|Jorge Luis Borges, el Boom
No oyes ladrar los perros|Juan Rulfo, el Boom
Chac Mool|Carlos Fuentes, el Boom
La noche boca arriba|Julio Corta'zar, el Boom
La siesta del martes|Gabriel Garci'a Ma'rquez, el Boom
El ahogado mas hermoso del mundo|Gabriel Garci'a Ma'rquez, el Boom
Dos Palabras|Isabel Allende, el Boom
El Caballo Mago|Sabine Ulibarri', contemp
Y no se lo trago la tierra|Toma's Rivera, contemp
La Noche Buena|Toma's Rivera, contemp
Como la vida misma|Rosa Montero
